Product Name,Current Price,Original Price,Percent Badge,Amount Info,Image,Affiliate Link,Scraping Time
Khẩu Trang Chống Nắng Full Mặt Chống UV UPPER YOU Mịn Mát Thoáng Khí - FM02,70.210 ₫,,41%,Số lượng: 298,https://down-bs-vn.img.susercontent.com/vn-11134207-81ztc-mlhp20hu134400.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
Ốp lưng iphone TPU Silicon Bảo Vệ Bốn Góc Trong Siêu Chống Sốc 6plus/7plus/8plus/x/xs/11/12/13/14/15/16/17/pro/max U4-13,15.000 ₫,25.000 ₫,40%,Số lượng: 2810,https://down-bs-vn.img.susercontent.com/vn-11134207-7qukw-liy168tjbx765a.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
Combo 2 Cuốn Phương Pháp Học Kinh Điển - Phương Pháp Siêu Trí Nhớ Ebbinghaus + Phương Pháp Học tập Feynman - Ymate,163.200 ₫,272.000 ₫,40%,Số lượng: 25,https://down-bs-vn.img.susercontent.com/vn-11134207-820l4-mfmfmrke1q1bd9.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
"Đồng hồ thông minh Kieslect Ks 3 Elite 2025 - Màn hình AMOLED 2.1"" - Nghe gọi qua Bluetooth I Hàng Chính Hãng",1.194.000 ₫,1.990.000 ₫,40%,Số lượng: 10,https://down-bs-vn.img.susercontent.com/vn-11134207-820l4-mhaprcxe6fwta5.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
"Siêu Tẩy Rửa Lốc Máy, Tẩy Rửa Xe Không Chạm, Tẩy Rỉ Sét HP LUBE Mẫu Mới Dung Tích 500ml",48.800 ₫,80.000 ₫,39%,Số lượng: 23,https://down-bs-vn.img.susercontent.com/vn-11134207-820l4-mk0rmzwhju2sc6.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
Sữa tắm Balea & Isana Đức – Sữa tắm thuần chay Vegan Chai 300ml & 750ml,62.000 ₫,,38%,Số lượng: 20,https://down-bs-vn.img.susercontent.com/vn-11134207-7r98o-lt7i1eeqc0qs7f.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
"Cây Chà Sàn Nhà Tắm Xoay 180 Độ Nghiêng 45 Độ - Vệ Sinh Tận Góc, Tiện Lợi, Sạch Bóng",99.200 ₫,,38%,Số lượng: 25,https://down-bs-vn.img.susercontent.com/vn-11134207-7ras8-mdifpg073cg50a.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
[THE SAEM] Che khuyết điểm chống nắng che phủ cao THE SAEM Cover Perfection Tip Concealer,124.000 ₫,200.000 ₫,38%,Số lượng: 180,https://down-bs-vn.img.susercontent.com/vn-11134207-81ztc-mlrgdcvxfztbfe.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
"Áo Polo Đen Nam Aristino Organic Cotton tone màu cơ bản, dễ phối đồ - APS204AS0E",465.000 ₫,750.000 ₫,38%,Số lượng: 35,https://down-bs-vn.img.susercontent.com/br-11134201-81z1k-me10mpdyh72a0e.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
Kẹp Đuôi Ngựa Cao Kẹp Chuối Kẹp Tóc Kẹp Tóc Kẹp Dọc Phụ Kiện Dành Cho Nữ,10.983 ₫,17.161 ₫,36%,Số lượng: 5,https://down-bs-vn.img.susercontent.com/sg-11134201-7rd6n-m76aram4wcka9e.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
"Sách – Ghi Để Nhớ, Viết Để Hiểu: Kích Hoạt Não Bộ Bằng Phương Pháp Ghi Chép Thông Minh",67.200 ₫,,36%,Số lượng: 25,https://down-bs-vn.img.susercontent.com/vn-11134207-81ztc-mlsphqsumxadc7.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
"Combo 5 quần lót nam tam giác NOWEAR cao cấp, Quần sịp nam thun lạnh băng co giãn 4 chiều, thấm hút kháng khuẩn tốt",419.250 ₫,645.000 ₫,35%,Số lượng: 360,https://down-bs-vn.img.susercontent.com/vn-11134207-7ras8-m3edra9qzu3lf1.webp,No Link,28-03 | Khung: 02:00 | Đã kết thúc
